,ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
0,7.160465955873761,195.7123379491982,22636.785632043167,7.235746306741727,336.79406698184965,424.3967110624825,14.376177679199452,68.1058881360555,3.991681223705017,1
1,7.187737899875428,193.20223730395188,21263.02807611768,7.1174089378670535,333.997160944982,430.1634045281624,14.20692792116398,64.80770250970735,3.957064007843658,0
3,7.0789133781673135,196.8865577763817,21539.18567904486,7.104866681832216,335.22340550387344,429.4003327866967,14.34426136161994,65.28976477687931,3.909316942536176,0
4,7.052283062757086,194.9715227054824,21659.46872652809,7.10179014070104,335.66990339259075,425.6208218479919,14.10079363454246,66.17850434453167,3.989340449303983,0
5,7.163458093499704,195.74967602429783,22395.70776096773,7.261155845677367,333.2472127276514,423.4813458178976,14.289909433763349,67.94182261304856,4.011314309499355,1
7,7.035040400853566,196.3339225357995,21248.890578173246,7.11686829289417,335.2842777002348,428.5299968563981,14.170943769812853,65.94963976209489,3.949511282330888,0
8,7.041583568128548,194.54520044930103,22289.608325742374,7.348172389274475,335.55735889109644,427.5790161067199,14.382701091225847,67.45449820862153,4.01139347958912,1
10,7.197123417926572,195.3619709203852,21272.265852795488,7.223055879828641,334.7245786518991,428.5247713385709,14.481839968108128,67.55257769789891,3.91559246482068,0
11,7.176221636160759,197.2272258563985,22426.133386532627,7.088845453082443,328.7680113370062,424.3790656487732,14.570337714127415,65.24033027771469,4.005229223793208,1
12,7.145275504241377,195.20390769094575,21537.21452746559,7.156452319732381,334.269882925742,431.54192920352784,14.283641656634629,66.66225673129955,4.006770185835514,0
13,7.140511882731645,195.725431954718,21443.442000971085,7.120157455668935,334.1655598774104,420.8325448192746,14.518827872685032,66.3481858820998,3.967506920333629,0
14,7.011412741127832,198.57400541676688,21301.053584740268,6.924760696902353,337.04973457307864,430.1990132382352,14.251315101056187,64.94859112233321,3.961929834609288,0
